"Genes","ProtDesc","X1_vs_X3","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","Comparison","X1H_vs_X3H","X3_vs_X5","X3H_vs_X5H"
"C1orf50","Uncharacterized protein C1orf50",NA,"Up in X3H",1.437,2.7735586767263,0.0193275462578753,15.23,5,0.0365721430149818,0.0244684339533129,0.0447403348892931,"X1H vs X3H Down",0.91,NA,NA
"FYTTD1","UAP56-interacting factor",NA,"Up in X3H",1.437,2.77297763425166,0.019346996510726,16.07,1,0.0365972437192984,0.0111695104740303,0.022610329618487,"X1H vs X3H Down",0.49,NA,NA
"DPY30","Protein dpy-30 homolog",NA,"Up in X3H",1.436,2.77248677067619,0.0193634433430125,20.18,4,0.036616648852862,0.0215980996060767,0.0403269029249467,"X1H vs X3H Down",0.55,NA,NA
"PIP4K2A","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 beta",NA,"Up in X3H",1.433,2.76761883782539,0.0195273087552822,17,2,0.0369029338565968,0.0206328959560597,0.0387079408281564,"X1H vs X3H Down",0.79,NA,NA
"BMP2K","BMP-2-inducible protein kinase",NA,"Up in X3H",1.432,2.76589502811292,0.0195856687635086,15.26,2,0.0369962160678973,0.0221893154039665,0.0411838705286291,"X1H vs X3H Down",0.95,NA,NA
"DHX29","Putative ATP-dependent RNA helicase DHX57;ATP-dependent RNA helicase DHX29",NA,"Up in X3H",1.429,2.76167997640916,0.0197291079064823,16.13,16,0.0372129842150639,0.026499974519127,0.0478195636565033,"X1H vs X3H Down",0.56,NA,NA
"SNF8","Vacuolar-sorting protein SNF8",NA,"Up in X3H",1.425,2.75486566964127,0.0199632304869033,17.5,3,0.0375827027651947,0.0176595298111829,0.0337711295970715,"X1H vs X3H Down",0.47,NA,NA
"CBFB","Core-binding factor subunit beta (Fragment)",NA,"Up in X3H",1.422,2.75073980853215,0.020106335618522,15.4,1,0.037840072472899,0.023963925894878,0.0439400525317612,"X1H vs X3H Down",1.31,NA,NA
"LAMTOR3","Ragulator complex protein LAMTOR3",NA,"Up in X3H",1.42,2.74821011271282,0.0201945855799595,19.36,6,0.0379940740466202,0.0235576105185371,0.0432918915415514,"X1H vs X3H Down",0.39,NA,NA
"MBLAC2","Metallo-beta-lactamase domain-containing protein 2",NA,"Up in X3H",1.42,2.7473654632091,0.0202241379900627,16.29,9,0.0380375793029882,0.0262280143462382,0.0473576932824813,"X1H vs X3H Down",0.4,NA,NA
"TMEM263","Transmembrane protein 263",NA,"Up in X3H",1.419,2.74580992935,0.0202786760316097,15.27,3,0.0381280349790386,0.0256127944714024,0.0464310370365465,"X1H vs X3H Down",1.54,NA,NA
"PPP1R9A","Neurabin-2;Neurabin-1",NA,"Up in X3H",1.411,2.73409069615732,0.020694321349392,14.98,2,0.0387985739620888,0.0178280981768239,0.0340396440504251,"X1H vs X3H Down",0.57,NA,NA
"PHYHIPL","Phytanoyl-CoA hydroxylase-interacting protein-like",NA,"Up in X3H",1.403,2.72201839212353,0.0211314050642661,16.44,5,0.0395507438117965,0.0238304594761568,0.0437495590196773,"X1H vs X3H Down",0.44,NA,NA
"TMA7","Translation machinery-associated protein 7",NA,"Up in X3H",1.403,2.72190324862414,0.0211356180383472,20.55,2,0.0395507438117965,0.0103421225043547,0.0210796895825927,"X1H vs X3H Down",0.4,NA,NA
"COBLL1","Cordon-bleu protein-like 1",NA,"Up in X3H",1.403,2.72116736373225,0.0211625631016699,15.89,3,0.0395761333352026,0.0244986624980312,0.044781768922104,"X1H vs X3H Down",0.82,NA,NA
"FAS","Tumor necrosis factor receptor superfamily member 6",NA,"Up in X3H",1.402,2.71931791270283,0.0212304340906809,14.62,2,0.0396529288240401,0.0253831034166329,0.0461343863970357,"X1H vs X3H Down",1.2,NA,NA
"THUMPD3","THUMP domain-containing protein 3",NA,"Up in X3H",1.401,2.7183658867918,0.0212654562577022,16.41,5,0.0396807646410671,0.0265912437117305,0.0479403988550608,"X1H vs X3H Down",0.83,NA,NA
"PLSCR1","Phospholipid scramblase 1",NA,"Up in X3H",1.401,2.71754778559802,0.0212955978771232,16.85,3,0.0397244806554029,0.0223184615474467,0.0413975977981951,"X1H vs X3H Down",0.61,NA,NA
"JPT1","Jupiter microtubule associated homolog 1",NA,"Up in X3H",1.393,2.70567411520072,0.0217379022219243,19.6,4,0.040498478415342,0.023031088543988,0.0425194854648291,"X1H vs X3H Down",0.48,NA,NA
"LYRM1","LYR motif-containing protein 1",NA,"Up in X3H",1.392,2.70444297739787,0.0217842851565943,15.73,2,0.0405721168623129,0.0264959386255416,0.0478195636565033,"X1H vs X3H Down",1.35,NA,NA
"UBE2E1","Ubiquitin-conjugating enzyme E2 E1",NA,"Up in X3H",1.386,2.69561951384182,0.0221196134309003,16.52,2,0.0411189923564678,0.0105584228473867,0.021498344111489,"X1H vs X3H Down",0.39,NA,NA
"SLC11A2","Natural resistance-associated macrophage protein 2",NA,"Up in X3H",1.384,2.69268963955181,0.022232096818585,17.42,1,0.0412891766715529,0.0152513106530142,0.029616673821426,"X1H vs X3H Down",0.53,NA,NA
"SLC25A44","Solute carrier family 25 member 44",NA,"Up in X3H",1.384,2.69191338691891,0.0222619941848808,15,3,0.0412928588062507,0.0223385316724081,0.0414218401459225,"X1H vs X3H Down",0.56,NA,NA
"TLK2","Serine/threonine-protein kinase tousled-like 2",NA,"Up in X3H",1.384,2.69245406926921,0.0222411655683722,14.39,1,0.0412928588062507,0.0243582136224212,0.0445801268183936,"X1H vs X3H Down",0.95,NA,NA
"BSDC1","BSD domain-containing protein 1",NA,"Up in X3H",1.376,2.6795286090331,0.0227444570180301,15.96,5,0.0420953869801953,0.0275219824203838,0.0493327991461409,"X1H vs X3H Down",0.62,NA,NA
"PGAP2","Post-GPI attachment to proteins factor 2",NA,"Up in X3H",1.374,2.67721443755766,0.0228357580910545,15.08,1,0.042251150914562,0.0262245269932792,0.0473576932824813,"X1H vs X3H Down",1.11,NA,NA
"B4GALT7","Beta-1,4-galactosyltransferase 7",NA,"Up in X3H",1.367,2.66713900963007,0.0232375425524173,16.17,2,0.0429274240657674,0.0112718561890585,0.022778542715389,"X1H vs X3H Down",0.39,NA,NA
"UCKL1","Uridine-cytidine kinase-like 1",NA,"Up in X3H",1.365,2.66371125943677,0.0233758334891892,15.26,3,0.0431559459455639,0.0273747589518855,0.0491638577037151,"X1H vs X3H Down",0.86,NA,NA
"LRRC57","Leucine-rich repeat-containing protein 57",NA,"Up in X3H",1.365,2.6634472579782,0.0233865184555581,17.02,5,0.0431622051470796,0.0282450747450908,0.0505217978436221,"X1H vs X3H Down",0.62,NA,NA
"FAM3A","Protein FAM3A",NA,"Up in X3H",1.364,2.66117103051796,0.0234788466183135,15.57,2,0.0432920958057218,0.0246238120042323,0.0449688566756304,"X1H vs X3H Down",0.75,NA,NA
"KYAT1","Kynurenine--oxoglutarate transaminase 1",NA,"Up in X3H",1.363,2.66034001350581,0.0235126446896704,15.65,4,0.0433409092301494,0.0298051948075394,0.0530456655170264,"X1H vs X3H Down",1.52,NA,NA
"BTN2A1","Butyrophilin subfamily 2 member A1",NA,"Up in X3H",1.362,2.65854722788035,0.0235857237654772,17.06,4,0.0434215082515023,0.0267595731640898,0.0481998156505082,"X1H vs X3H Down",0.58,NA,NA
"AP1AR","AP-1 complex-associated regulatory protein",NA,"Up in X3H",1.362,2.65766437553953,0.0236217944599049,16.28,3,0.0434743881241858,0.0201178855222703,0.0378979715489568,"X1H vs X3H Down",0.44,NA,NA
"PPP3R1","Calcineurin subunit B type 1",NA,"Up in X3H",1.36,2.6549115184133,0.0237346211036467,14.8,2,0.043641315435139,0.0244242155713181,0.044673287027972,"X1H vs X3H Down",0.72,NA,NA
"FAM126A","Hyccin",NA,"Up in X3H",1.358,2.65151790531137,0.0238744482165288,16.27,9,0.0438711522040996,0.0306066343409305,0.054270139465174,"X1H vs X3H Down",0.42,NA,NA
"CC2D1A","Coiled-coil and C2 domain-containing protein 1A",NA,"Up in X3H",1.356,2.6493129326353,0.0239657390714051,15.35,11,0.0440166024673763,0.0311832234913575,0.0551437936038143,"X1H vs X3H Down",0.54,NA,NA
"PRPS1","Ribose-phosphate pyrophosphokinase 2;Ribose-phosphate pyrophosphokinase 3;Ribose-phosphate pyrophosphokinase 3;Ribose-phosphate pyrophosphokinase 1",NA,"Up in X3H",1.356,2.649246871893,0.0239684794912771,16.85,1,0.0440166024673763,0.0205891732517041,0.0386381662322654,"X1H vs X3H Down",0.62,NA,NA
"CA9","Carbonic anhydrase 9",NA,"Up in X3H",1.351,2.64124333409297,0.0243028116491803,15.21,5,0.0445579262585497,0.0308606920726017,0.0546450308762157,"X1H vs X3H Down",1.34,NA,NA
"RAB42","Ras-related protein Rab-42",NA,"Up in X3H",1.351,2.64110975261222,0.0243084309553149,17.68,3,0.0445579262585497,0.0223593278060914,0.0414474131042114,"X1H vs X3H Down",0.48,NA,NA
"HPS6","Hermansky-Pudlak syndrome 6 protein",NA,"Up in X3H",1.348,2.63615458225275,0.0245177936156987,15.37,3,0.0448305886353799,0.0304763894905655,0.0540716031831113,"X1H vs X3H Down",1.42,NA,NA
"TMEM51","Transmembrane protein 51",NA,"Up in X3H",1.348,2.63589562237366,0.0245287842137586,17.78,1,0.0448368292223694,0.01309663158331,0.0259694266348677,"X1H vs X3H Down",0.45,NA,NA
"RIOK3","Serine/threonine-protein kinase RIO3",NA,"Up in X3H",1.346,2.63302492319628,0.0246509492394181,15.71,2,0.0450439209553721,0.0286514724634843,0.0511828290708094,"X1H vs X3H Down",1.05,NA,NA
"STK24","Serine/threonine-protein kinase 25;Serine/threonine-protein kinase 26;Serine/threonine-protein kinase 24",NA,"Up in X3H",1.346,2.63287601393631,0.0246573026828545,17.59,8,0.0450439209553721,0.0312539656629983,0.0552523796916526,"X1H vs X3H Down",0.52,NA,NA
"EVPL","Envoplakin",NA,"Up in X3H",1.338,2.61983278121287,0.0252201764069369,16.1,18,0.0459303735918269,0.0329666033142445,0.0577452314417954,"X1H vs X3H Down",0.66,NA,NA
"NARS1","Asparagine--tRNA ligase, cytoplasmic",NA,"Up in X3H",1.336,2.61700826181938,0.0253437393264192,17.62,1,0.0461128245985308,0.025987842149966,0.0469957402204611,"X1H vs X3H Down",0.8,NA,NA
"FRMPD3","FERM and PDZ domain-containing protein 3",NA,"Up in X3H",1.33,2.60806914592225,0.0257387719633741,15.03,1,0.0467884220298878,0.0310489887884678,0.0549228300930834,"X1H vs X3H Down",1.48,NA,NA
"DENND1A","DENN domain-containing protein 1A",NA,"Up in X3H",1.326,2.60251014672171,0.0259875097012658,17.79,4,0.0471826004609971,0.0290895809993472,0.0518755427284922,"X1H vs X3H Down",0.55,NA,NA
"MIS12","Protein MIS12 homolog",NA,"Up in X3H",1.319,2.59213762332064,0.0264580251263735,14.81,3,0.0479779756888606,0.0305671943583333,0.0542164535426434,"X1H vs X3H Down",0.81,NA,NA
"DHTKD1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",NA,"Up in X3H",1.309,2.57667502535073,0.0271751650844676,15.37,4,0.0491278496195523,0.0325356838117882,0.0571426658101368,"X1H vs X3H Down",0.78,NA,NA
"AMZ2","Archaemetzincin-2",NA,"Up in X3H",1.308,2.57580214818177,0.0272162179463735,14.73,1,0.0491870377485314,0.0308642374832369,0.0546450308762157,"X1H vs X3H Down",1.05,NA,NA
"KATNA1","Katanin p60 ATPase-containing subunit A1",NA,"Up in X3H",1.307,2.57453904406986,0.0272757326562776,15.53,3,0.049279545077006,0.0283245028343132,0.0506485594652859,"X1H vs X3H Down",0.58,NA,NA
"STK4","Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 3",NA,"Up in X3H",1.306,2.57241227539316,0.027376232837911,16.69,3,0.0494309336899357,0.0274117404438178,0.0491948038234972,"X1H vs X3H Down",0.53,NA,NA
"TUT4","Terminal uridylyltransferase 4",NA,"Up in X3H",1.306,2.57206234022247,0.0273928040913466,15.19,5,0.0494457662625071,0.033842603459957,0.0590872483542537,"X1H vs X3H Down",0.84,NA,NA
"MARK2","Serine/threonine-protein kinase MARK2;Serine/threonine-protein kinase MARK2",NA,"Up in X3H",1.301,2.56485074608126,0.0277365314940327,16.68,1,0.0499747432552349,0.0112237069610305,0.0226889901224521,"X1H vs X3H Down",0.39,NA,NA
"APOA4","Apolipoprotein A-IV",NA,"Up in X5",7.242,29.9901317246702,1.93698604020451e-11,21.55,33,5.73057319994505e-08,2.96856242188828e-10,7.17177837702928e-07,"X3 vs X5 Down",NA,2.11,NA
"A1BG","Alpha-1B-glycoprotein",NA,"Up in X5",6.738,25.0404435720138,1.23463515504253e-10,15.81,4,1.82633405309667e-07,3.79774510042269e-10,7.17177837702928e-07,"X3 vs X5 Down",NA,3.47,NA
"ACSM2A","Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",NA,"Up in X5",6.406,22.3327327005414,3.97854643259022e-10,19.7,13,3.92350987360606e-07,3.43531770262535e-09,2.25853053849269e-06,"X3 vs X5 Down",NA,1.54,NA
"IGHG1","Immunoglobulin heavy constant gamma 1",NA,"Up in X5",6.299,21.0544906570415,7.25494829830101e-10,16.07,3,5.02178558089861e-07,2.1476691542783e-09,2.11795973097745e-06,"X3 vs X5 Down",NA,4.2,NA
"IGSF1","Immunoglobulin superfamily member 1",NA,"Up in X5",6.299,20.9482494712257,7.63834210378359e-10,20.22,24,5.02178558089861e-07,8.02424587809457e-09,3.81726257693002e-06,"X3 vs X5 Down",NA,1.47,NA
"TF","Serotransferrin",NA,"Up in X5",6.035,18.9325304955487,2.13407829889109e-09,22.86,58,9.22237310455988e-07,1.16475476065645e-07,2.2972846396014e-05,"X3 vs X5 Down",NA,0.7,NA
"ADH7","All-trans-retinol dehydrogenase [NAD(+)] ADH7",NA,"Up in X5",5.9,17.8324645826746,3.90973620138354e-09,15.58,1,1.25856945066331e-06,4.35754486752794e-09,2.57835929811628e-06,"X3 vs X5 Down",NA,3.75,NA
"LMAN1","Protein ERGIC-53",NA,"Up in X5",5.884,17.618938499896,4.41522750180589e-09,21.92,18,1.30624505640927e-06,1.57729552182285e-07,2.75334657524817e-05,"X3 vs X5 Down",NA,0.61,NA
"RNASET2","Ribonuclease T2",NA,"Up in X5",5.844,17.3758681485094,5.07928564066901e-09,20.92,12,1.43114919694469e-06,4.7858063042784e-08,1.41588079512077e-05,"X3 vs X5 Down",NA,0.84,NA
"SFXN3","Sideroflexin-3",NA,"Up in X5",5.787,17.0702471138092,6.07372538616372e-09,20.28,19,1.6335560504514e-06,7.86346794334202e-08,1.86112559283019e-05,"X3 vs X5 Down",NA,0.89,NA
"P4HA1","Prolyl 4-hydroxylase subunit alpha-1",NA,"Up in X5",5.741,16.8182804820976,7.05441489244288e-09,22.44,39,1.81482490950368e-06,2.00375156640039e-07,3.08283053523707e-05,"X3 vs X5 Down",NA,0.71,NA
"COL18A1","Collagen alpha-1(XVIII) chain",NA,"Up in X5",5.617,16.1473638239378,1.06192425177818e-08,18.74,16,2.41669453760443e-06,9.12765104852611e-08,2.03771667924271e-05,"X3 vs X5 Down",NA,0.98,NA
"MTTP","Microsomal triglyceride transfer protein large subunit",NA,"Up in X5",5.554,15.7449756907334,1.36758226911271e-08,22.44,43,2.79033940908272e-06,3.65032076250446e-07,3.99980517624795e-05,"X3 vs X5 Down",NA,0.67,NA
"FGB","Fibrinogen beta chain",NA,"Up in X5",5.552,15.6829232400958,1.42274218894551e-08,21.39,28,2.80612184399687e-06,1.39596388548091e-07,2.58122447199705e-05,"X3 vs X5 Down",NA,1,NA
"TST","Thiosulfate sulfurtransferase",NA,"Up in X5",5.37,14.8514111535384,2.45191169671144e-08,21.65,19,4.26704750277694e-06,3.14034398328214e-07,3.79147346532546e-05,"X3 vs X5 Down",NA,0.73,NA
"POFUT2","GDP-fucose protein O-fucosyltransferase 2",NA,"Up in X5",5.36,14.7325033144272,2.65642515667324e-08,19.3,13,4.3689486379408e-06,2.05717507989718e-07,3.08283053523707e-05,"X3 vs X5 Down",NA,0.8,NA
"PECR","Peroxisomal trans-2-enoyl-CoA reductase",NA,"Up in X5",5.338,14.6169048284061,2.87322431586798e-08,21.92,22,4.59482926405157e-06,6.06132383794415e-07,5.24767602669616e-05,"X3 vs X5 Down",NA,0.6,NA
"CLYBL","Citramalyl-CoA lyase, mitochondrial",NA,"Up in X5",5.327,14.5044302701568,3.10283139549849e-08,18.99,9,4.70755214542682e-06,1.3144546853271e-07,2.50891237841305e-05,"X3 vs X5 Down",NA,0.85,NA
"ASB6","Ankyrin repeat and SOCS box protein 6",NA,"Up in X5",5.277,14.2636894944808,3.66458890415242e-08,16.68,1,5.28862745021216e-06,6.47707411693929e-08,1.66629771956216e-05,"X3 vs X5 Down",NA,3.91,NA
"ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial",NA,"Up in X5",5.275,14.1906333839435,3.85634283560226e-08,21.36,34,5.30650710657176e-06,9.49348690574306e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,0.59,NA
"C3","Complement C3",NA,"Up in X5",5.275,14.0935438870706,4.12832593129462e-08,20.85,101,5.31028359466745e-06,7.99196794275564e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,0.66,NA
"H6PD","GDH/6PGL endoplasmic bifunctional protein",NA,"Up in X5",5.24,13.8637105494589,4.85942627315696e-08,19.61,25,5.75296846519898e-06,1.00430846200892e-06,6.00251835323918e-05,"X3 vs X5 Down",NA,0.58,NA
"HMGCL","Hydroxymethylglutaryl-CoA lyase, mitochondrial",NA,"Up in X5",5.24,13.8354653044838,4.95861740282487e-08,20.1,15,5.75296846519898e-06,6.82465128640204e-07,5.60853634189457e-05,"X3 vs X5 Down",NA,0.57,NA
"MPST","3-mercaptopyruvate sulfurtransferase",NA,"Up in X5",5.24,13.8832535361838,4.79206390593252e-08,20.92,22,5.75296846519898e-06,2.36630681819255e-06,0.00010001026745175,"X3 vs X5 Down",NA,0.44,NA
"BAAT","Bile acid-CoA:amino acid N-acyltransferase",NA,"Up in X5",5.129,13.2444701748578,7.63469466224293e-08,17.61,9,7.42194379922565e-06,2.80037582561274e-07,3.52549441705331e-05,"X3 vs X5 Down",NA,1.5,NA
"CES2","Cocaine esterase",NA,"Up in X5",5.129,13.2418247853333,7.64975342066491e-08,21.39,20,7.42194379922565e-06,1.11114150109725e-06,6.27458522451007e-05,"X3 vs X5 Down",NA,0.59,NA
"GAA","Lysosomal alpha-glucosidase",NA,"Up in X5",5.129,13.1968099381957,7.91102876571995e-08,20.66,19,7.42194379922565e-06,9.97557550625557e-07,6.00251835323918e-05,"X3 vs X5 Down",NA,0.62,NA
"PLOD1","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",NA,"Up in X5",5.129,13.0964114872846,8.52952811132912e-08,20.15,38,7.42194379922565e-06,6.31274977303052e-06,0.00016964137186495,"X3 vs X5 Down",NA,0.4,NA
"RBP4","Retinol-binding protein 4",NA,"Up in X5",5.129,13.1269864054435,8.3357638110004e-08,20.87,8,7.42194379922565e-06,2.76967227791358e-07,3.52549441705331e-05,"X3 vs X5 Down",NA,1.19,NA
"SLC27A2","Very long-chain acyl-CoA synthetase",NA,"Up in X5",5.129,13.251412802011,7.59532766670081e-08,18.89,14,7.42194379922565e-06,3.94629656374072e-07,4.16968513708105e-05,"X3 vs X5 Down",NA,1.04,NA
"GLB1","Beta-galactosidase",NA,"Up in X5",5.113,13.0082150729882,9.11652747729011e-08,21.12,20,7.70607044044651e-06,9.65426581989172e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,0.67,NA
"SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",NA,"Up in X5",5.064,12.8231816415068,1.0496475813016e-07,21.46,20,8.62606213689103e-06,1.80061134547376e-06,8.4557280406097e-05,"X3 vs X5 Down",NA,0.53,NA
"CKAP4","Cytoskeleton-associated protein 4",NA,"Up in X5",5.062,12.797665618253,1.07040128227681e-07,22.28,41,8.6610923318332e-06,3.21570020643206e-06,0.00011325772691344,"X3 vs X5 Down",NA,0.49,NA
"SFXN1","Sideroflexin-1",NA,"Up in X5",5.032,12.6116241430742,1.23595931881067e-07,21.81,13,9.29807351712337e-06,9.22577415775886e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,0.63,NA
"ALDH6A1","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",NA,"Up in X5",5.023,12.5644596347598,1.2822366113293e-07,21.4,24,9.48374253654432e-06,1.3486884884889e-06,7.2080054367315e-05,"X3 vs X5 Down",NA,0.67,NA
"ACSM3","Acyl-coenzyme A synthetase ACSM3, mitochondrial",NA,"Up in X5",5.012,12.4996806843799,1.34890399991842e-07,17.94,10,9.73349386282599e-06,5.31205299951381e-07,4.78126821107277e-05,"X3 vs X5 Down",NA,1.02,NA
"CPQ","Carboxypeptidase Q",NA,"Up in X5",5.001,12.4531932739892,1.39907351210228e-07,19.86,7,9.97387707362553e-06,3.45124434871524e-07,3.85302128516002e-05,"X3 vs X5 Down",NA,0.93,NA
"ERAP1","Endoplasmic reticulum aminopeptidase 1",NA,"Up in X5",4.976,12.3432280120376,1.5260381198671e-07,18.98,22,1.05780219111522e-05,3.1098164862086e-06,0.00011186185428806,"X3 vs X5 Down",NA,0.48,NA
"APOC1","Apolipoprotein C-I",NA,"Up in X5",4.899,12.0033065995027,2.00485348356753e-07,18.5,4,1.26199128322011e-05,2.1794572587536e-07,3.14532892684025e-05,"X3 vs X5 Down",NA,1.31,NA
"AK3","GTP:AMP phosphotransferase AK3, mitochondrial",NA,"Up in X5",4.893,11.9739390298415,2.05333515065489e-07,23.65,23,1.27890358804474e-05,4.08591446419189e-06,0.00012859763768416,"X3 vs X5 Down",NA,0.47,NA
"CHDH","Choline dehydrogenase, mitochondrial",NA,"Up in X5",4.884,11.9147586002693,2.15496143606235e-07,21.27,22,1.30495008695714e-05,3.49522298408106e-06,0.00011948065992471,"X3 vs X5 Down",NA,0.5,NA
"VTN","Vitronectin",NA,"Up in X5",4.884,11.9277036533134,2.13227225140204e-07,19.05,13,1.30495008695714e-05,8.25304044585208e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,1.35,NA
"ADSS1","Adenylosuccinate synthetase isozyme 1",NA,"Up in X5",4.831,11.6896421377413,2.59468876025976e-07,15.61,9,1.47622821100548e-05,8.45229719368271e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,2.48,NA
"AK4","Adenylate kinase 4, mitochondrial",NA,"Up in X5",4.792,11.4926444103331,3.06037706746007e-07,23.04,18,1.61547580941026e-05,5.9455370233046e-06,0.00016362670961345,"X3 vs X5 Down",NA,0.42,NA
"CYB5R3","NADH-cytochrome b5 reductase 3",NA,"Up in X5",4.769,11.3373560249106,3.49173021656681e-07,23.79,19,1.70264969682629e-05,4.14077032675567e-06,0.00012895230538638,"X3 vs X5 Down",NA,0.51,NA
"NAGLU","Alpha-N-acetylglucosaminidase",NA,"Up in X5",4.728,11.2111288532001,3.89126268092225e-07,17.2,20,1.87191880349731e-05,2.19412094820752e-06,9.40769105111877e-05,"X3 vs X5 Down",NA,0.8,NA
"IGFBP1","Insulin-like growth factor-binding protein 1",NA,"Up in X5",4.71,11.1557966925484,4.08186753951988e-07,20.6,7,1.94777501865638e-05,9.13219817827925e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,0.82,NA
"ACSF2","Medium-chain acyl-CoA ligase ACSF2, mitochondrial",NA,"Up in X5",4.667,11.0155654162156,4.61202802414091e-07,20.01,24,2.15469022268108e-05,3.68607660775158e-06,0.00012184645412327,"X3 vs X5 Down",NA,0.63,NA
"ALDH4A1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",NA,"Up in X5",4.667,11.0120037147926,4.62643458108821e-07,22.11,27,2.15469022268108e-05,9.17915362296816e-06,0.00021725220794841,"X3 vs X5 Down",NA,0.44,NA
"ANGPTL8","Angiopoietin-like protein 8",NA,"Up in X5",4.655,10.915801130982,5.0347040284587e-07,17.2,5,2.21397289790267e-05,9.85688532269688e-07,6.00251835323918e-05,"X3 vs X5 Down",NA,1.35,NA
"APOC3","Apolipoprotein C-III",NA,"Up in X5",4.655,10.912699712363,5.04850248013046e-07,18.76,4,2.21397289790267e-05,2.08404971116246e-07,3.08283053523707e-05,"X3 vs X5 Down",NA,0.92,NA
"PCCA","Propionyl-CoA carboxylase alpha chain, mitochondrial",NA,"Up in X5",4.655,10.9155521741456,5.03581013984157e-07,19.72,28,2.21397289790267e-05,5.46605255287862e-06,0.00015184334720837,"X3 vs X5 Down",NA,0.55,NA
"SLC39A4","Zinc transporter ZIP4",NA,"Up in X5",4.642,10.8693019470545,5.24596271034021e-07,18.56,5,2.28237951155022e-05,4.54244597781401e-07,4.40617259847959e-05,"X3 vs X5 Down",NA,0.84,NA
"CFB","Complement factor B",NA,"Up in X5",4.491,10.3132527974147,8.6789969545384e-07,19.38,17,3.22978773459143e-05,4.00665826099233e-06,0.00012859763768416,"X3 vs X5 Down",NA,0.8,NA
"CPT1A","Carnitine O-palmitoyltransferase 1, liver isoform",NA,"Up in X5",4.485,10.2451212688576,9.24565385123521e-07,20.91,19,3.27584034956639e-05,4.37539163675936e-06,0.0001314172198716,"X3 vs X5 Down",NA,0.8,NA
"CARS2","Probable cysteine--tRNA ligase, mitochondrial",NA,"Up in X5",4.469,10.1493239543476,1.01115715669405e-06,20.67,17,3.39335938738255e-05,1.24199996806178e-05,0.00025441992852931,"X3 vs X5 Down",NA,0.41,NA
"ACSF3","Malonate--CoA ligase ACSF3, mitochondrial",NA,"Up in X5",4.459,10.1024336105378,1.05672372663524e-06,19.67,12,3.47368571694486e-05,4.8491822120626e-06,0.00013997732896897,"X3 vs X5 Down",NA,0.61,NA
"COL6A1","Collagen alpha-1(VI) chain",NA,"Up in X5",4.453,10.0698344771854,1.08971640037166e-06,17.22,11,3.52341636120169e-05,3.45821880831861e-06,0.00011948065992471,"X3 vs X5 Down",NA,1.2,NA
"ACOT13","Acyl-coenzyme A thioesterase 13",NA,"Up in X5",4.45,10.0492225177493,1.11115413739977e-06,20.13,4,3.54782601443209e-05,9.5692524383508e-07,5.95515855033453e-05,"X3 vs X5 Down",NA,1.05,NA
"EMILIN1","EMILIN-1",NA,"Up in X5",4.45,10.0471439016438,1.11334134995178e-06,17.03,29,3.54782601443209e-05,4.67608196619558e-06,0.00013765361688546,"X3 vs X5 Down",NA,0.97,NA
"CP","Ceruloplasmin",NA,"Up in X5",4.429,9.95164969432852,1.2190522709123e-06,16.29,8,3.72009124214841e-05,3.3725081420471e-06,0.00011738312162642,"X3 vs X5 Down",NA,1.32,NA
"ARHGAP31","Rho GTPase-activating protein 31",NA,"Up in X5",4.423,9.91928082788682,1.25732144311092e-06,17.34,1,3.77643196897834e-05,2.10622617715359e-06,9.30040320165509e-05,"X3 vs X5 Down",NA,3.16,NA
"CYP3A4","Cytochrome P450 3A4;Cytochrome P450 3A4;Cytochrome P450 3A5",NA,"Up in X5",4.4,9.83866064475408,1.35843482326613e-06,16.34,1,3.97913804419094e-05,1.57265187635533e-06,7.88591623084277e-05,"X3 vs X5 Down",NA,2.47,NA
"NT5E","5'-nucleotidase",NA,"Up in X5",4.398,9.82730562068016,1.37337255596314e-06,17.15,7,4.00307655844034e-05,3.52852899706186e-06,0.00011948065992471,"X3 vs X5 Down",NA,1.33,NA
